Yes/No for many items,STOBS,EMC,Targeted Ecosystem or Habitat Type,Habitat Designation ,Species at Risk,Targeted Species,MU,T4W Action,External Party Type,Reconciliation ,Q3 Status,"FY26 Stewardship Together ID, if applicable",Order,Non-RSD Funding Source,
Yes,"50-52 - Internal staff salaries: Aux, Coop, Intern (not permanent salaries which have a different budget)",Not yet submitted,Alpine/Tundra,FRPA/ERAA – WHA,SAR,n/a,46023,n/a,Indigenous,"Transformational: advances Declaration Act commitments, shifts decision‑making/benefit‑sharing, and/or improves community well‑being.…see Reconciliation Options tab",1 - Not Started,n/a,1,HCTF,
No,57 - Internal staff travel,Submitted and awaiting decision,Aquatic ,FRPA/ERAA – UWR,Not SAR,All ,46032,Action 01. Establish a Minister’s Wildlife Advisory Council,Not Indigenous,"Enabling: upholds the honour of the Crown when activities may impact Aboriginal interests, improves current/future conditions for reconciliation...see Reconciliation Options tab",2 - Completed,LIST THEM ALL ID-Title - Lead,2,Fed - NSCSF (ECCC),
,60 - Contracts,Approved,Biodiversity,FRPA/ERAA - FSW,Both,BIRD - Great Blue Heron,46033,Action 02. Create or expand Regional Wildlife Advisory Committees,Both,"Minimal Contribution: has minimal impact on Aboriginal rights, interests, or reconciliation outcomes…see Reconciliation Options tab",3 - In Progress - On Track,,3,FOR Research,
,63 - IT,,Forest,Wildlife Act – WMA (s.4),Other *Explain in NOTES,BIRD - MAMU (Marbled Murrelet) (SAR),46034,Action 03. Increase opportunities for engagement and involvement,Other,,4 - In Progress - At Risk,,4,Treaty 8 WWG,
,"65 - Business expenses (BEAs, training, office supplies, etc.) ",,Grasslands,Land Act – Reserve (s. 15),,BIRD - NOGO (Northern Goshawk) (SAR) ,46035,"Action 04. Enhance biological, social, and economic data",,,5 - On Hold,,5,Fed - 2BT (NRCAN),
,68 - Statutory advertising and publications (per statute/regulation),,Listed Ecosystem,Land Act – Withdrawal (s.16),,BIRD - SPOW (Spotted Owl) (SAR),46036,Action 05. Support wildlife research,,,6 - Off Track,,6,Indigenous Funding Program (MIRR),
,"69 - Utilities, materials, and supplies (A/V, medical supplies, permits, etc.)",,Range,Land Act - Conditional Withdrawal (s.17),,BIRD - WESO (Western Screech Owl (SAR),46037,Action 06. Foster citizen science,,,7 - Cancelled,,7,KTOI,
,"70 - Operating expenses (vehicle/equipment rentals, including helicopter, fuel, etc.)",,Riparian,Land Act – FRPA Objectives (s. 93.4),,BIRD - WISA (Williamson Sapsucker) (SAR) ,46024,"Action 07. Ensure data are accessible, reliable and integrated",,,,,8,Fed - Caribou SMC (ECCC),
,73 - Amortization,,Wetland,Other *Explain in NOTES,,BIRD - Other - Bird of Prey,46025,Action 08. Establish accountable stewardship objectives,,,,,9,FFSBC,
,75 - Building Occupancy Charges,,Wildlife Tree,,,BIRD - Other - Migratory Bird,46026,Action 09. Deliver on-the-ground stewardship,,,,,10,IDFW,
,"77 - Government transfer - grants (e.g., universities)",,Aquatic - other *Explain in Notes,,,BIRD - Other - Raptor,46027,Action 10. Improve legislated land designations,,,,,11,Forestry Engineering? ,
,80 - Government transfer - shared cost arrangement,,Terrestrial - other *Explain in Notes,,,BIRD - Other - Songbird ,46028,Action 11. Support and expand Conservation Lands,,,,,12,Fed - IPSAR (ECCC),
,85 - Other Expenses,,,,,BIRD - Other - Waterfowl/Wetland,46029,Action 12. Recommend improvements to the Wildlife Act,,,,,13,Fed - EcoCorridors (ParksCan),
,,,,,,FISH - Arctic Grayling,46030,Action 13. Explore new funding models for wildlife,,,,,14,Y2Y,
,,,,,,FISH - Brown Trout,46031,Action 14. Report out on performance,,,,,15,Goat Funding Alliance,
,,,,,,FISH - Bull Trout,46054,Action 15. Share financial reports,,,,,no $,Skagit Environmental Endowment Commission,
,,,,,,FISH - Burbot,46063,Action 16. Communicate decision rationales,,,,,no $,SPOW Deferral,
,,,,,,FISH - Coastal Cutthroat Trout,46064,Action 17. Periodically review and update our strategy,,,,,no $,Wild Sheep Foundation/Society,
,,,,,,FISH - Dolly Varden,46065,Action 18. Advance co-management and shared decision-making,,,,,no $,MOTT,
,,,,,,FISH - Freshwater Fish,46066,Action 19. Promote the importance of Indigenous peoples and wildlife,,,,,not mentioned,NEEF,
,,,,,,FISH - Kokanee,46067,Action 20. Incorporate Indigenous Knowledge into decisions,,,,,not mentioned,Fed - Caribou Boreal (ECCC),
,,,,,,FISH - Lake Fish/Fishery,46068,Action 21. Support Indigenous guardian and compliance programs,,,,,,,
,,,,,,FISH - Lake Trout,46055,Action 22. Share wildlife and habitat data and information,,,,,,,
,,,,,,FISH - Large Lake Fish/Fishery,46056,Action 23. Invest in capacity for Indigenous governments,,,,,,,
,,,,,,FISH - Non-native fish,46057,Action 24. Support the First Nations-B.C. Wildlife & Habitat Conservation Forum,,,,,,,
,,,,,,FISH - Northern Pike,46058,Other,,,,,,,
,,,,,,FISH - Rainbow Trout,46059,,,,,,,,
,,,,,,FISH - River Fish/Fishery,46060,,,,,,,,
,,,,,,FISH - Salmon,46061,,,,,,,,
,,,,,,FISH - Saltwater Fish,46062,,,,,,,,
,,,,,,FISH - Small Lake Fish/Fishery,46093,,,,,,,,
,,,,,,FISH - Steelhead,46094,,,,,,,,
,,,,,,FISH - Sturgeon,46095,,,,,,,,
,,,,,,FISH - Westslope Cutthroat Trout,46096,,,,,,,,
,,,,,,FISH - White Sturgeon,46097,,,,,,,,
,,,,,,FISH - Other,46098,,,,,,,,
,,,,,,FLORA - Grasses,46099,,,,,,,,
,,,,,,FLORA - Shrubs,46100,,,,,,,,
